organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-04 2:00,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-05 2:00,-111.788589,53.676139,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-08 2:00,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-08 6:18,-111.788589,53.676139,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-11 0:00,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-11 6:12,-111.788589,53.676139,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-12 0:00,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-12 7:50,-111.788589,53.676139,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-13 0:00,-111.788589,53.676139,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-14 2:00,-111.788589,53.676139,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-15 6:05,-111.788589,53.676139,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-15 7:45,-111.788589,53.676139,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-17 0:00,-111.788589,53.676139,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-18 2:00,-111.788589,53.676139,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-19 5:59,-111.788589,53.676139,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-20 7:37,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-21 2:00,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-21 7:35,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-22 2:00,-111.788589,53.676139,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-23 0:00,-111.788589,53.676139,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-23 2:00,-111.788589,53.676139,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-24 0:00,-111.788589,53.676139,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-24 5:51,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-25 5:50,-111.788589,53.676139,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-26 5:49,-111.788589,53.676139,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-26 7:29,-111.788589,53.676139,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-27 0:00,-111.788589,53.676139,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-29 0:00,-111.788589,53.676139,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1022-NW,2015-05-30 0:00,-111.788589,53.676139,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-21 0:00,-111.449608,53.671288,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-21 2:00,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-23 6:50,-111.449608,53.671288,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-25 0:00,-111.449608,53.671288,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-25 2:00,-111.449608,53.671288,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-29 0:00,-111.449608,53.671288,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-04-29 2:00,-111.449608,53.671288,60s None,Transcribed,877,NONE,NONE,,,,,,,,877
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-02 2:00,-111.449608,53.671288,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-03 0:00,-111.449608,53.671288,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-04 2:00,-111.449608,53.671288,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-06 6:22,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-08 2:00,-111.449608,53.671288,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-08 7:58,-111.449608,53.671288,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-09 2:00,-111.449608,53.671288,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-10 2:00,-111.449608,53.671288,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-11 6:12,-111.449608,53.671288,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-11 7:52,-111.449608,53.671288,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-12 7:50,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-13 0:00,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-13 6:09,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-13 7:49,-111.449608,53.671288,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-14 0:00,-111.449608,53.671288,60s None,Transcribed,505,NONE,NONE,,,,,,,,505
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-15 2:00,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-15 6:05,-111.449608,53.671288,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-16 0:00,-111.449608,53.671288,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-17 7:42,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-18 6:00,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-19 0:00,-111.449608,53.671288,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-19 2:00,-111.449608,53.671288,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-19 7:39,-111.449608,53.671288,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-21 0:00,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-21 2:00,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-22 5:54,-111.449608,53.671288,60s None,Transcribed,845,RUGR,Ruffed Grouse,Aves,1,39.85,Non-vocal,1,,FALSE,845
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-22 7:34,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-23 5:53,-111.449608,53.671288,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-23 7:33,-111.449608,53.671288,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-24 0:00,-111.449608,53.671288,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-25 2:00,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-25 7:30,-111.449608,53.671288,60s None,Transcribed,2061,NONE,NONE,,,,,,,,2061
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-26 0:00,-111.449608,53.671288,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-26 5:49,-111.449608,53.671288,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-28 5:46,-111.449608,53.671288,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-28 7:26,-111.449608,53.671288,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1023-NW,2015-05-30 5:44,-111.449608,53.671288,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-20 0:00,-111.22509,53.639076,60s None,Transcribed,1909,RUGR,Ruffed Grouse,Aves,1,36.9,Song,1,,FALSE,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-20 0:00,-111.22509,53.639076,60s None,Transcribed,1909,RUGR,Ruffed Grouse,Aves,1,9.85,Non-vocal,1,,FALSE,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-20 2:00,-111.22509,53.639076,60s None,Transcribed,841,RUGR,Ruffed Grouse,Aves,1,1.05,Non-vocal,1,,FALSE,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-21 0:00,-111.22509,53.639076,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-21 2:00,-111.22509,53.639076,60s None,Transcribed,1909,RUGR,Ruffed Grouse,Aves,1,9.45,Non-vocal,1,,FALSE,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-22 0:00,-111.22509,53.639076,60s None,Transcribed,845,RUGR,Ruffed Grouse,Aves,1,0.2,Non-vocal,1,,FALSE,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-22 6:52,-111.22509,53.639076,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-23 2:00,-111.22509,53.639076,60s None,Transcribed,2061,NONE,NONE,,,,,,,,2061
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-23 6:50,-111.22509,53.639076,60s None,Transcribed,845,RUGR,Ruffed Grouse,Aves,1,13.15,Non-vocal,1,,FALSE,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-24 0:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,25.5,Non-vocal,1,"Can't hear drumming with the other noise, but spectrogram looks like RUGR",FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-25 0:00,-111.22509,53.639076,60s None,Transcribed,1906,NONE,NONE,,,,,,,,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-25 2:00,-111.22509,53.639076,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-26 2:00,-111.22509,53.639076,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-26 6:43,-111.22509,53.639076,60s None,Transcribed,1057,RUGR,Ruffed Grouse,Aves,1,11.25,Non-vocal,1,,FALSE,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-27 0:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,2,28.25,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-27 0:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,36.2,Song,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-27 0:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,12.15,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-27 2:00,-111.22509,53.639076,60s None,Transcribed,841,RUGR,Ruffed Grouse,Aves,1,24.1,Non-vocal,1,,FALSE,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-27 6:41,-111.22509,53.639076,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-28 6:39,-111.22509,53.639076,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-30 0:00,-111.22509,53.639076,60s None,Transcribed,505,NONE,NONE,,,,,,,,505
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-30 2:00,-111.22509,53.639076,60s None,Transcribed,17,RUGR,Ruffed Grouse,Aves,1,38.2,Non-vocal,1,,FALSE,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-04-30 6:34,-111.22509,53.639076,60s None,Transcribed,841,RUGR,Ruffed Grouse,Aves,1,34.3,Non-vocal,1,,FALSE,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-01 0:00,-111.22509,53.639076,60s None,Transcribed,1057,RUGR,Ruffed Grouse,Aves,1,45.7,Non-vocal,1,,FALSE,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-01 2:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,2,35.95,Non-vocal,1,Maybe be a second bird because it starts right when first RUGR is finishing.,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-01 2:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,43.95,Song,1,,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-01 2:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,26.85,Song,1,,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-01 2:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,10.75,Non-vocal,1,,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-02 2:00,-111.22509,53.639076,60s None,Transcribed,845,RUGR,Ruffed Grouse,Aves,1,32.55,Non-vocal,1,,FALSE,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-02 2:00,-111.22509,53.639076,60s None,Transcribed,845,RUGR,Ruffed Grouse,Aves,1,0.3,Non-vocal,1,,FALSE,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-02 6:30,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,53.4,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-04 0:00,-111.22509,53.639076,60s None,Transcribed,1170,RUGR,Ruffed Grouse,Aves,1,14.7,Non-vocal,1,,FALSE,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-04 6:26,-111.22509,53.639076,60s None,Transcribed,1170,RUGR,Ruffed Grouse,Aves,1,26.85,Non-vocal,1,,FALSE,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-05 0:00,-111.22509,53.639076,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-06 6:22,-111.22509,53.639076,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-08 0:00,-111.22509,53.639076,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-08 2:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,54.95,Song,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-08 2:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,2,46.85,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-08 2:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,19.7,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-09 2:00,-111.22509,53.639076,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-09 6:16,-111.22509,53.639076,60s None,Transcribed,1057,RUGR,Ruffed Grouse,Aves,1,16.15,Non-vocal,1,,FALSE,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-09 6:16,-111.22509,53.639076,60s None,Transcribed,1057,RUGR,Ruffed Grouse,Aves,2,42.8,Non-vocal,1,,FALSE,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-09 7:56,-111.22509,53.639076,60s None,Transcribed,845,NONE,NONE,,,,,,,,845
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-10 7:54,-111.22509,53.639076,60s None,Transcribed,505,NONE,NONE,,,,,,,,505
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-11 2:00,-111.22509,53.639076,60s None,Transcribed,1906,RUGR,Ruffed Grouse,Aves,1,45.85,Song,1,,FALSE,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-11 2:00,-111.22509,53.639076,60s None,Transcribed,1906,RUGR,Ruffed Grouse,Aves,1,2.1,Non-vocal,1,,FALSE,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-12 2:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,2,33.05,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-12 2:00,-111.22509,53.639076,60s None,Transcribed,2034,RUGR,Ruffed Grouse,Aves,1,3.35,Non-vocal,1,,FALSE,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-12 6:10,-111.22509,53.639076,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-13 6:09,-111.22509,53.639076,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-14 2:00,-111.22509,53.639076,60s None,Transcribed,1170,NONE,NONE,,,,,,,,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-14 6:07,-111.22509,53.639076,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-14 7:47,-111.22509,53.639076,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-15 0:00,-111.22509,53.639076,60s None,Transcribed,6,NONE,NONE,,,,,,,,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-15 2:00,-111.22509,53.639076,60s None,Transcribed,17,NONE,NONE,,,,,,,,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-15 6:05,-111.22509,53.639076,60s None,Transcribed,17,RUGR,Ruffed Grouse,Aves,1,40.4,Non-vocal,1,,FALSE,17
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-15 7:45,-111.22509,53.639076,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-16 0:00,-111.22509,53.639076,60s None,Transcribed,2034,NONE,NONE,,,,,,,,2034
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-16 6:03,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,2,30.5,Non-vocal,1,Is this likely to be a separate bird drumming close by?,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-16 6:03,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,23.55,Non-vocal,1,RUGR males don't assemble in leks but I think there is more than 1 bird drumming here.,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-16 6:03,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,34,Song,1,RUGR males don't assemble in leks but I think there is more than 1 bird drumming here.,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-16 7:43,-111.22509,53.639076,60s None,Transcribed,841,NONE,NONE,,,,,,,,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-17 7:42,-111.22509,53.639076,60s None,Transcribed,1909,NONE,NONE,,,,,,,,1909
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-18 0:00,-111.22509,53.639076,60s None,Transcribed,841,RUGR,Ruffed Grouse,Aves,1,33.5,Non-vocal,1,,FALSE,841
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-18 2:00,-111.22509,53.639076,60s None,Transcribed,1906,RUGR,Ruffed Grouse,Aves,1,44.1,Song,1,,FALSE,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-18 2:00,-111.22509,53.639076,60s None,Transcribed,1906,RUGR,Ruffed Grouse,Aves,1,15.05,Non-vocal,1,,FALSE,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-18 6:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,31.85,Song,1,,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-18 6:00,-111.22509,53.639076,60s None,Transcribed,6,RUGR,Ruffed Grouse,Aves,1,0.05,Non-vocal,1,,FALSE,6
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-19 5:59,-111.22509,53.639076,60s None,Transcribed,1170,RUGR,Ruffed Grouse,Aves,1,54.75,Song,1,,FALSE,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-19 5:59,-111.22509,53.639076,60s None,Transcribed,1170,RUGR,Ruffed Grouse,Aves,1,0.3,Non-vocal,1,,FALSE,1170
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-20 0:00,-111.22509,53.639076,60s None,Transcribed,505,RUGR,Ruffed Grouse,Aves,1,11.1,Song,1,,FALSE,505
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-20 7:37,-111.22509,53.639076,60s None,Transcribed,1057,NONE,NONE,,,,,,,,1057
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-21 0:00,-111.22509,53.639076,60s None,Transcribed,1906,RUGR,Ruffed Grouse,Aves,1,24.15,Non-vocal,1,,FALSE,1906
ABMI,RUGR - BU LAB PROJECT,1024-NW,2015-05-21 5:55,-111.22509,53.639076,60s None,Transcribed,1057,RUGR,Ruffed Grouse,Aves,1,31.85,Non-vocal,1,,FALSE,1057
